fecha	minsplit	minbucket	maxdepth	corte	cp	ganancia	iteracion
20230910 212006	911	396	9	9225	-1	64.98281	1
20230910 212041	1405	610	8	9860	-1	62.3695	2
20230910 212242	1307	650	11	8932	-1	65.47281	3
20230910 212316	773	347	11	9283	-1	65.16948	4
20230910 212353	1038	454	8	8716	-1	63.53616	5
20230910 212424	652	201	6	8571	-1	54.1329	6
20230910 212500	1459	362	7	9001	-1	60.45618	7
20230910 212537	1198	287	11	8202	-1	59.24286	8
20230910 212617	1096	467	10	9602	-1	65.37948	9
20230910 212652	1132	483	8	8019	-1	60.57285	10
20230910 212724	1232	436	6	8640	-1	56.39621	11
20230910 212802	671	237	9	9731	-1	59.66285	12
20230910 212838	1370	592	12	9458	-1	61.38951	13
20230910 212914	1332	349	10	9712	-1	62.6495	14
20230910 212948	1416	327	7	8938	-1	57.5862	15
20230910 213023	864	273	11	8888	-1	65.12281	16
20230910 213101	984	492	10	9696	-1	62.62616	17
20230910 213143	855	381	11	9059	-1	68.15612	18
20230910 213227	1158	460	10	9024	-1	64.25948	19
20230910 213428	877	385	12	8775	-1	64.65615	20
20230910 213605	847	394	10	8857	-1	67.31613	21
20230910 213739	853	386	11	9805	-1	69.69611	22
20230910 213906	841	417	11	9999	-1	68.52945	23
20230910 214023	854	364	11	9999	-1	67.71279	24
20230910 214134	958	394	11	9996	-1	65.44948	25
20230910 214348	824	392	11	9833	-1	69.43944	26
20230910 214509	852	395	11	9845	-1	69.39278	27
20230910 214640	842	385	10	9844	-1	69.48611	28
